城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
广州,https://gz.lianjia.com/ershoufang/108403913114.html,4室2厅1厨2卫,高楼层 (共9层),109.76㎡,平层,109.76㎡,塔楼,东南 南,钢混结构,简装,一梯三户,无,2022-11-17,商品房,2014-04-03,普通住宅,满五年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403904713.html,7室2厅1厨2卫,高楼层 (共33层),235.26㎡,复式,187.46㎡,板塔结合,南,钢混结构,精装,三梯四户,有,2022-11-13,商品房,2016-03-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403905459.html,2室1厅1厨1卫,中楼层 (共9层),45.41㎡,平层,41.61㎡,塔楼,西南,钢混结构,精装,一梯四户,有,2022-11-13,商品房,2010-11-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403906695.html,2室2厅1厨1卫,高楼层 (共7层),82.58㎡,平层,72.67㎡,塔楼,南,钢混结构,简装,一梯四户,无,2022-11-14,商品房,2018-06-27,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403910854.html,3室2厅1厨1卫,中楼层 (共25层),87.76㎡,平层,66.89㎡,塔楼,西,钢混结构,简装,两梯六户,有,2022-11-16,商品房,2019-04-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403906967.html,3室2厅1厨2卫,中楼层 (共31层),117㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-11-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 金融公司垫资
                              ",未上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403901409.html,3室1厅1厨1卫,高楼层 (共9层),77.66㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯九户,有,2022-11-11,商品房,2017-07-18,普通住宅,满五年,非共有,"
                                有抵押 20万元 中国银行 业主自还
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403913785.html,3室2厅1厨2卫,低楼层 (共32层),102.02㎡,平层,82.84㎡,塔楼,南,钢混结构,精装,三梯六户,有,2022-11-17,商品房,2013-01-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403907140.html,2室1厅1厨1卫,高楼层 (共28层),85.54㎡,平层,69.19㎡,塔楼,北,钢混结构,毛坯,三梯八户,有,2022-11-14,商品房,2019-11-11,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403913577.html,3室1厅1厨1卫,中楼层 (共8层),68.73㎡,平层,63.66㎡,塔楼,南,钢混结构,简装,一梯三户,无,2022-11-17,商品房,2009-01-07,普通住宅,满五年,共有,"
                                有抵押 80万元
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403903201.html,3室2厅1厨2卫,高楼层 (共32层),103.44㎡,平层,84.21㎡,塔楼,南,钢混结构,精装,三梯八户,有,2022-11-12,商品房,2020-11-13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403906480.html,3室2厅1厨2卫,高楼层 (共6层),111.3㎡,复式,97.4㎡,板楼,东 西,钢混结构,精装,一梯两户,无,2022-11-14,商品房,2014-04-03,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403908021.html,3室2厅1厨2卫,高楼层 (共30层),102.15㎡,平层,82.83㎡,塔楼,北,钢混结构,精装,三梯四户,有,2022-11-14,商品房,2013-07-24,普通住宅,满五年,共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403904424.html,3室2厅1厨1卫,高楼层 (共9层),86.54㎡,平层,78.67㎡,塔楼,南,钢混结构,简装,一梯六户,有,2022-11-13,商品房,2017-05-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403906788.html,3室1厅1厨1卫,低楼层 (共15层),97.12㎡,平层,暂无数据,塔楼,东 西,钢混结构,精装,两梯六户,有,2022-11-14,商品房,2012-11-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403903670.html,4室2厅1厨1卫,低楼层 (共33层),114.38㎡,暂无数据,90.43㎡,塔楼,东南 西南,钢混结构,精装,两梯四户,有,2022-11-12,商品房,2018-08-09,普通住宅,满两年,非共有,"
                                有抵押 100万元 工商银行花都 金融公司垫资
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403870986.html,3室2厅1厨1卫,中楼层 (共17层),106.31㎡,平层,90.35㎡,塔楼,东北,钢混结构,简装,两梯六户,有,2022-10-30,商品房,2016-09-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403849703.html,7室4厅1厨6卫,高楼层 (共4层),370.3㎡,,暂无数据,,南 北,钢混结构,毛坯,,,2022-10-23,商品房,暂无数据,别墅,暂无数据,非共有,"
                                有抵押 20万元 中国银行南沙支行 业主自还
                              ",未上传房本照片,独栋
广州,https://gz.lianjia.com/ershoufang/108403848431.html,4室2厅1厨4卫,低楼层 (共3层),185㎡,,暂无数据,,东南 南,未知结构,毛坯,,,2022-10-22,商品房,2011-11-23,别墅,满五年,共有,"
                                有抵押 20万元 中国银行 业主自还
                              ",已上传房本照片,暂无数据
广州,https://gz.lianjia.com/ershoufang/108403869697.html,3室2厅1厨2卫,高楼层 (共31层),113.46㎡,平层,89.82㎡,板塔结合,南,钢混结构,简装,三梯九户,有,2022-10-30,商品房,2005-09-19,普通住宅,满五年,非共有,"
                                有抵押 10万元 业主自还
                              ",已上传房本照片,
