城市,链接,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,供暖方式,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,户型结构,建筑类型,梯户比例,配备电梯
郑州,https://zz.lianjia.com/ershoufang/104109689823.html,3室1厅1厨1卫,高楼层 (共6层),96.35㎡,82.95㎡,南,未知结构,精装,,暂无数据,2022-11-11,商品房,2017-02-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,暂无数据,一梯两户,无
郑州,https://zz.lianjia.com/ershoufang/104109702706.html,3室2厅1厨1卫,高楼层 (共17层),94.67㎡,75.66㎡,西南,未知结构,其他,,暂无数据,2022-11-13,商品房,2019-04-28,普通住宅,满两年,非共有,"
                                有抵押 25万元 中国银行
                              ",已上传房本照片,平层,板楼,两梯四户,有
郑州,https://zz.lianjia.com/ershoufang/104109703327.html,3室2厅1厨2卫,中楼层 (共17层),184.09㎡,暂无数据,西,框架结构,精装,,集中供暖,2022-11-14,商品房,2019-08-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,板楼,两梯两户,有
郑州,https://zz.lianjia.com/ershoufang/104109694575.html,3室1厅1厨1卫,中楼层 (共8层),88.06㎡,74.81㎡,南,钢混结构,简装,,集中供暖,2022-11-12,商品房,2013-10-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,板楼,一梯两户,有
郑州,https://zz.lianjia.com/ershoufang/104109697089.html,2室1厅1厨1卫,低楼层 (共22层),74.58㎡,52.65㎡,南,钢混结构,精装,,集中供暖,2022-11-12,商品房,2016-11-13,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,平层,塔楼,三梯十五户,有
郑州,https://zz.lianjia.com/ershoufang/104109699552.html,3室1厅1厨2卫,中楼层 (共25层),141.98㎡,暂无数据,东,钢混结构,毛坯,,集中供暖,2022-11-13,商品房,2012-04-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,板楼,两梯四户,有
郑州,https://zz.lianjia.com/ershoufang/104109690225.html,4室1厅1厨2卫,低楼层 (共31层),157.86㎡,124.39㎡,南,钢混结构,毛坯,,自供暖,2022-11-11,商品房,2014-06-13,普通住宅,满五年,非共有,"
                                有抵押 1万元
                              ",已上传房本照片,平层,板楼,两梯两户,有
郑州,https://zz.lianjia.com/ershoufang/104109705290.html,3室2厅1厨2卫,中楼层 (共21层),125.02㎡,暂无数据,南,钢混结构,精装,,集中供暖,2022-11-14,商品房,2020-04-22,普通住宅,满两年,共有,"
                                有抵押 70万元 银行 业主自还
                              ",已上传房本照片,平层,板楼,两梯四户,有
郑州,https://zz.lianjia.com/ershoufang/104109673610.html,3室2厅1厨1卫,中楼层 (共18层),105.56㎡,86.31㎡,南 北,钢混结构,简装,,集中供暖,2022-11-07,商品房,2018-11-06,普通住宅,满两年,共有,"
                                有抵押 12万元 中原银行
                              ",已上传房本照片,平层,塔楼,两梯四户,有
郑州,https://zz.lianjia.com/ershoufang/104109692542.html,3室2厅1厨2卫,低楼层 (共11层),129.61㎡,暂无数据,南 北,钢混结构,简装,,自供暖,2022-11-11,商品房,2007-04-16,普通住宅,满五年,非共有,"
                                有抵押 140万元 招商银行 业主自还
                              ",已上传房本照片,复式,板楼,一梯四户,有
郑州,https://zz.lianjia.com/ershoufang/104109699571.html,3室1厅1厨1卫,高楼层 (共34层),113.02㎡,82.93㎡,南,钢混结构,精装,,集中供暖,2022-11-13,商品房,2020-01-16,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,平层,板塔结合,两梯四户,有
郑州,https://zz.lianjia.com/ershoufang/104109627926.html,3室1厅1厨2卫,低楼层 (共22层),131㎡,67.2㎡,南 北,钢混结构,精装,,集中供暖,2022-10-26,商品房,2013-05-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,板楼,两梯三户,有
郑州,https://zz.lianjia.com/ershoufang/104109650105.html,4室1厅1厨2卫,中楼层 (共18层),199.29㎡,159.82㎡,南,钢混结构,其他,,自供暖,2022-11-01,商品房,2011-07-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,塔楼,两梯三户,有
郑州,https://zz.lianjia.com/ershoufang/104109691946.html,4室2厅1厨2卫,高楼层 (共29层),137.08㎡,111.81㎡,东 北,钢混结构,精装,,自供暖,2022-11-11,商品房,2019-04-12,普通住宅,满两年,非共有,"
                                有抵押 127万元 金融公司垫资
                              ",已上传房本照片,平层,塔楼,两梯七户,有
郑州,https://zz.lianjia.com/ershoufang/104109672856.html,3室1厅1厨2卫,低楼层 (共30层),115.68㎡,暂无数据,南,钢混结构,毛坯,,集中供暖,2022-11-07,商品房,2019-11-08,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,板塔结合,三梯十四户,有
郑州,https://zz.lianjia.com/ershoufang/104109684124.html,3室2厅1厨2卫,高楼层 (共29层),132.76㎡,104.19㎡,南 北,钢混结构,简装,,集中供暖,2022-11-09,商品房,2015-04-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,复式,板楼,两梯两户,有
郑州,https://zz.lianjia.com/ershoufang/104109702456.html,3室2厅1厨1卫,中楼层 (共11层),112㎡,93.38㎡,南 北,钢混结构,其他,,集中供暖,2022-11-13,商品房,2011-08-03,普通住宅,满五年,非共有,"
                                有抵押 1万元
                              ",已上传房本照片,平层,板楼,十梯三户,有
郑州,https://zz.lianjia.com/ershoufang/104109661341.html,3室1厅1厨1卫,低楼层 (共6层),82.7㎡,76.46㎡,南 北,混合结构,简装,,集中供暖,2022-11-04,商品房,2016-07-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,暂无数据,三梯两户,有
郑州,https://zz.lianjia.com/ershoufang/104109678751.html,3室2厅1厨2卫,中楼层 (共30层),141.28㎡,111.05㎡,南,钢混结构,其他,,集中供暖,2022-11-08,商品房,2010-04-09,普通住宅,满五年,非共有,"
                                有抵押 40万元 招商银行 业主自还
                              ",已上传房本照片,平层,板塔结合,两梯三户,有
郑州,https://zz.lianjia.com/ershoufang/104104931704.html,5室2厅1厨3卫,高楼层 (共6层),194.71㎡,176.73㎡,南 北,混合结构,精装,,自供暖,2020-08-30,商品房,2013-11-25,普通住宅,满五年,非共有,"
                                有抵押 30万元 未知 业主自还
                              ",已上传房本照片,复式,板楼,一梯两户,无
